index,real_news
1,no
2,yes
3,no
4,yes
5,no
6,no
7,no
8,yes
9,yes
10,yes
11,yes
12,yes
13,no
14,no
15,yes
16,no
17,yes
18,yes
19,yes
20,yes
21,yes
22,no
23,yes
24,yes
25,no
26,no
27,no
28,no
29,no
30,no
31,yes
32,no
33,yes
34,yes
35,yes
36,yes
37,yes
38,no
39,yes
40,yes
41,yes
42,yes
43,yes
44,no
45,yes
46,no
47,no
48,no
49,yes
50,yes
51,yes
52,yes
53,no
54,yes
55,yes
56,yes
57,yes
58,yes
59,yes
60,yes
61,yes
62,no
63,no
64,no
65,no
66,yes
67,no
68,yes
69,no
70,yes
71,yes
72,no
73,yes
74,yes
75,yes
76,no
77,no
78,yes
79,yes
80,yes
81,yes
82,no
83,no
84,yes
85,yes
86,yes
87,yes
88,yes
89,yes
90,no
91,yes
92,yes
93,yes
94,yes
95,yes
96,no
97,no
98,no
99,yes
100,yes
101,yes
102,yes
103,yes
104,yes
105,no
106,yes
107,yes
108,no
109,yes
110,yes
111,yes
112,yes
113,yes
114,yes
115,no
116,yes
117,yes
118,yes
119,yes
120,yes
121,yes
122,yes
123,yes
124,no
125,yes
126,yes
127,no
128,yes
129,no
130,no
131,yes
132,yes
133,yes
134,yes
135,yes
136,yes
137,yes
138,yes
139,no
140,no
141,no
142,no
143,yes
144,no
145,yes
146,yes
147,yes
148,no
149,no
150,no
